species_name,primary_strain,temperature_span_c,temperature_min_low_c,temperature_opt_low_c,temperature_max_high_c
Rummeliibacillus stabekisii,KSC-SF6g,27,28,28,55
Rummeliibacillus suwonensis,G20,30,20,37,50
Runella aurantiaca,YX9T,14,16,28,30
Runella defluvii,EMB13,25,15,32.5,40
Runella limosa,KCTC 12615T,25,15,25,40
Runella palustris,HMF3829T,10,20,30,30
Runella palutris,HMF3829T,10,20,30,30
Runella salmonicolor,KACC 22689T,25,15,25,40
Runella soli,15J11-1,22,15,28,37
Runella zeae,NS12,22,15,28,37
Rurimicrobium arvi,J107-1,27,15,20,42
Sabulilitoribacter arenilitoris,HMF6543T,20,10,30,30
Sabulilitoribacter multivorans,M-M16,33,4,30,37
Saccharedens versatilis,NCIMB 15010T,24,23,40,47
Saccharibacillus brassicae,ATSA2,22,15,25,37
Saccharibacillus deserti,WLJ055T,25,10,25,35
Saccharibacillus endophyticus,JM-1350,26,10,29,36
Saccharibacillus kuerlensis,KCTC 13182T,27,15,37,42
Saccharibacillus kuerlensis,HR1,27,15,30,42
Saccharibacillus qingshengii,H6T,27,15,30,42
Saccharibacillus sacchari,LMG 24085T,32,8,28,40
Saccharibacter floricola,S-877,13,20,27.5,33
Saccharibacter floricola,JCM 12116T,13,20,25,33
Saccharicrinis carchari,SS12,30,10,29,40
Saccharicrinis fermentans,,19,18.5,30,37.5
Saccharicrinis fermentans,DSM 9555T,19,18.5,30.3,37.5
Saccharicrinis marinus,Y11T,29,4,29,33
Saccharococcus caldoxylosilyticus,S1812,32,43,65,75
Saccharofermentans acetigenes,JCM 14006T,22,20,37,42
Saccharolobus caldissimus,HS-3T,35,60,85,95
Saccharolobus caldissimus,HS-3,28,65,85,93
Saccharolobus solfataricus,NBRC 15331,37,50,85,87
Saccharomonospora amisosensis,DS3030,17,28,30,45
Saccharomonospora azurea,NA-128 (=SIA 86128),16,24,28,40
Saccharomonospora colocasiae,TBRC 7235T,33,19,27,52
Saccharomonospora cyanea,ATCC 43724,16,24,28,40
Saccharomonospora glauca,DSM 43769,32,28,50,60
Saccharomonospora marina,XMU15T,9,28,28,37
Saccharomonospora oceani,YIM M11168,30,15,28,45
Saccharomonospora xiaoerkulensis,TRM 41495,18,25,37,43
Saccharophagus degradans,2-40T,33,4,30,37
Saccharopolyspora aidingensis,TRM 46074,25,20,37,45
Saccharopolyspora aidingensis,JCM 30185T,20,25,37,45
Saccharopolyspora antimicrobica,I05-00074,25,20,28,45
Saccharopolyspora cavernae,YIM C01235,20,10,28,30
Saccharopolyspora cebuensis,DSM 45019T,22,15,25,37
Saccharopolyspora coralli,JCM 31844T,20,15,25,35
Saccharopolyspora dendranthemae,KLBMP 1305,22,15,28,37
Saccharopolyspora deserti,KCTC 39989T,26,14,37,40
Saccharopolyspora deserti,SYSU D8010,26,14,28,40
Saccharopolyspora gloriosae,KCTC 19243T,22,10,28,32
Saccharopolyspora griseoalba,AFM 10238,30,15,28,45
Saccharopolyspora halophila,YIM 90500,35,10,28,45
Saccharopolyspora halophila,DSM 45007T,35,10,37,45
Saccharopolyspora halotolerans,TRM 45123,27,15,37,42
Saccharopolyspora hattusasensis,CR3506,9,28,30,37
Saccharopolyspora indica,VRC122T,36,4,30,40
Saccharopolyspora jiangxiensis,W12,30,15,28,45
Saccharopolyspora lacisalsi,TRM 40133,17,25,37,42
Saccharopolyspora maritima,TBRC 7048T,18,18,32,36
Saccharopolyspora phatthalungensis,SR8.15T,24,18,31,42
Saccharopolyspora phatthalungensis,SR8.15,24,18,28,42
Saccharopolyspora qijiaojingensis,YIM 91168,20,20,28,40
Saccharopolyspora rectivirgula,DSM 43747,23,37,50,60
Saccharopolyspora shandongensis,88T,23,15,28,38
Saccharopolyspora spinosporotrichia,AS4.198,12,25,28,37
Saccharopolyspora spongiae,CMMA1452,15,15,25,30
Saccharopolyspora subtropica,DSM 46801T,35,25,50,60
Saccharopolyspora subtropica,T3,35,25,37,60
Saccharopolyspora thermophila,,10,45,45,55
Saccharospirillum aestuarii,IMCC4453,32,10,25,42
Saccharospirillum alexandrii,KCTC 62460T,36,4,33,40
Saccharospirillum correiae,CPA1T,24.5,18,30,42.5
Saccharospirillum impatiens,EL-105,17,16,30,33
Saccharospirillum mangrovi,HK-33T,35,10,37,45
Saccharospirillum salsuginis,YIM-Y25T,35,15,37,50
Saccharospirillum salsuginis,YIM-Y25,35,15,30,50
Saccharothrix australiensis,LL-BM782Ce82,35,10,30,45
Saccharothrix carnea,NEAU-yn17,33,4,28,37
Saccharothrix deserti,BMP B8144,17,20,28,37
Saccharothrix ghardaiensis,MB46,20,20,30,40
Saccharothrix hoggarensis,SA181T,25,20,30,45
Saccharothrix isguenensis,MB27,30,15,30,45
Saccharothrix lopnurensis,YIM LPA2h,25,15,25,40
Saccharothrix sabaoui,Mg75T,25,15,30,40
Saccharothrix saharensis,SA152,30,15,30,45
Saccharothrix stipae,D34,17,28,28,45
Saccharothrix tamanrassetensis,SA198T,17,20,30,37
Saccharothrix violaceirubra,NBRC 102064T,15,15,28,30
Saccharothrix yanglingensis,Hhs.015,20,15,25,35
Sagittula marina,F028-2,26,4,25,30
Sagittula stellata,E-37,37,4,30,41
Salaquimonas pukyongi,KCTC 52649T,15,20,25,35
Salarchaeum japonicum,JCM 16327T,35,20,40,55
Salegentibacter agarivorans,KCTC 12560T,37,4,28,41
Salegentibacter catena,HY1T,27,15,33,42
Salegentibacter chungangensis,CAU 1289,17,20,30,37
Salegentibacter echinorum,HD4,29,4,28,33
Salegentibacter flavus,Fg 69,25,10,23.5,35
Salegentibacter flavus,CIP 107843T,25,10,25,35
Salegentibacter salarius,ISL-6,37,4,30,41
Salegentibacter salinarum,ISL-4T,37,4,30,41
Salegentibacter sediminis,K5023T,21,16,33,37
Salibacter halophilus,JZ3C34T,30,20,33,50
Salibacterium halochares,MSS4,19,26,37,45
Salibacterium halotolerans,S7T,20,25,37,45
Salibacterium lacus,GSS13T,35,10,30,45
Salibacterium qingdaonense,CM1,20,25,37,45
Salicibibacter halophilus,NKC3-5,15,25,35,40
Salicola salis,B2T,15,30,37,45
Salilacibacter albus,J11Y309,27,15,28,42
Salimesophilobacter vulgaris,Zn2T,40,10,35,50
Salimicrobium flavidum,ISL-25T,36,4,37,40
Salimicrobium jeotgali,MJ3,30,15,30,45
Salimicrobium luteum,BY-5T,34,10,37,44
Salimicrobium salexigens,29CMI,25,15,37,40
Salinactinospora qingdaonensis,CXB832,46,4,37,50
Salinarchaeum chitinilyticum,JCM 19597T,30,20,40,50
Salinarchaeum laminariae,R26,30,20,37,50
Salinarimonas ramus,,46,4,28,50
Salinarimonas rosea,YIM YD3T,35,5,29,40
Salinarimonas rosea,YIM YD3,22,15,28,37
Salinibacillus aidingensis,25-7T,21,28,41,49
Salinibacillus aidingensis,7寧25擔,21,28,40,49
Salinibacillus kushneri,,32,20,40,52
Salinibacillus xinjiangensis,CGMCC 1,25,25,35,50
Salinibacter iranicus,CGMCC 1,25,25,37,50
Salinibacter luteus,CGMCC 1,25,25,37,50
Salinibacterium amurskyense,KMM 3673,33,4,25,37
Salinibacterium hongtaonis,CGMCC 1,26,4,28,30
Salinibacterium soli,WY-16T,22,20,30,42
Salinibacterium xinjiangense,CGMCC 1,19,4,18,23
Salinibius halmophilus,WDS2A16AT,20,20,37,40
Salinicoccus albus,YIM-Y21,35,5,25,40
Salinicoccus alkaliphilus,T8T,36,10,32,46
Salinicoccus amyloliticus,KCTC 33661T,25,15,37,40
Salinicoccus amylolyticus,JC304T,25,15,37,40
Salinicoccus carnicancri,KCTC 13301T,41,4,30,45
Salinicoccus carnicancri,Crm,41,4,30,45
Salinicoccus halitifaciens,JC90,20,20,35,40
Salinicoccus halodurans,CGMCC 1,35,8,28,43
Salinicoccus hispanicus,J乚82,22,15,37,37
Salinicoccus iranensis,QW6T,40,5,35,45
Salinicoccus jeotgali,S2R53-5,10,20,30,30
Salinicoccus kekensis,K164,46,4,37,50
Salinicoccus kunmingensis,YIM Y15T,41,4,37,45
Salinicoccus luteus,YIM 70202,41,4,30,45
Salinicoccus qingdaonensis,LMG 24855T,26,16,28,42
Salinicoccus salitudinis,YIM-C678,33,4,25,37
Salinicoccus salsiraiae,RH1,25,20,37,45
Salinicoccus sediminis,SV-16T,12,25,30,37
Salinicoccus sesuvii,CC-SPL15-2,32,4,28,36
Salinicoccus siamensis,JCM 12822T,30,15,37,45
Salinicola acroporae,S4-41,30,15,30,45
Salinicola halophilus,CG4.1,30,15,35,45
Salinicola peritrichatus,DY22,38,4,35,42
Salinicola rhizosphaerae,MSSRFH1T,17,20,28,37
Salinicola rhizosphaerae,MSSRFH1,12,25,28,37
Salinicola salarius,M27,35,10,25,45
Salinicola socius,SMB35,25,15,30,40
Salinicola tamaricis,F01T,30,15,30,45
Salinicola zeshunii,N4,35,10,30,45
Salinifilum aidingensis,TRM 46074,20,25,37,45
Salinifilum ghardaiensis,H53,20,25,30,45
Salinifilum proteinilyticum,LMG 28390T,20,30,40,50
Salinigranum halophilum,YJ-53,40,20,40,60
Salinigranum rubrum,GX10T,30,20,37,50
Salinigranum salinum,YJ-50-S2,25,25,37,50
Salinihabitans flavidus,KCTC 22485T,36,4,30,40
Salinimicrobium aquimaris,HB62T,24,16,37,40
Salinimicrobium catena,HY1,27,15,33,42
Salinimicrobium flavum,X7,41,4,29,45
Salinimicrobium flavum,KCTC 42585T,41,4,28,45
Salinimicrobium gaetbulicola,BB-My20,30,10,35,40
Salinimicrobium marinum,KMM 6270,37,4,28,41
Salinimicrobium sediminis,KCTC 32444T,30,10,25,40
Salinimicrobium soli,CAU 1287,17,20,30,37
Salinimicrobium terrae,YIM-C338,33,4,28,37
Salinimicrobium xinjiangense,BH206T,38,10,32,48
Salinimonas chungwhensis,BH030046,35,10,32.5,45
Salinimonas chungwhensis,KCTC 12239T,35,10,30,45
Salinimonas lutimaris,DPSR-4,27,10,25,37
Salinimonas sediminis,KCTC 62440T,36,4,28,40
Salininema proteolyticum,Miq-4T,20,20,30,40
Saliniradius amylolyticus,KCTC 62462T,27,15,37,42
Salinirepens amamiensis,AM11-6,30,10,35,40
Salinirubellus salinus,ZS-35-S2T,25,25,37,50
Salinirubrum litoreum,XD46,30,20,37,50
Salinirussus salinus,YGH44T,30,25,37,55
Salinisphaera aquimarina,CCMM005T,37,0,30,37
Salinisphaera dokdonensis,CL-ES53,35,5,25,40
Salinisphaera halophila,YIM 95161,25,15,25,40
Salinisphaera hydrothermalis,EPR70T,20,20,35,40
Salinisphaera hydrothermalis,EPR70,20,20,30,40
Salinisphaera japonica,JCM 18087T,26,4,25,30
Salinisphaera japonica,YTM-1,26,4,20,30
Salinisphaera orenii,KCTC 23198T,30,10,35,40
Salinisphaera shabanensis,E1L3A,37,5,30,42
Salinispira pacifica,L21-RPul-D2,25,20,35,45
Salinispirillum marinum,GCWy1T,36,4,30,40
Salinispora arenicola,CNH-643T,20,10,28,30
Salinispora arenicola,CNH-643,20,10,20,30
Salinispora pacifica,CNR-114,10,20,28,30
Salinispora tropica,CNB-440,20,10,15,30
Salinithrix halophila,R4S8T,20,30,40,50
Salinivenus iranica,CB7,25,25,37,50
Salinivenus lutea,DGO,25,25,37,50
Salinivibrio costicola,,40,5,37,45
Salinivibrio kushneri,AL184,32,17,37,49
Salinivibrio proteolyticus,DSM 19052T,35,10,32,45
Salinivibrio sharmensis,BAG,15,25,35,40
Salinivibrio siamensis,ND1-1,37,10,37,47
Salinivirga cyanobacteriivorans,L21-Spi-D4,25,20,35,45
Salinivirga fredricksonii,HL-109T,25,20,45,45
Salinovum rubellum,YCWB25T,38,4,30,42
Salipaludibacillus aurantiacus,S9T,25,20,37,45
Salipaludibacillus daqingensis,KCTC 33936T,30,10,35,40
Salipaludibacillus halalkaliphilus,LMG 28385T,36,4,30,40
Salipaludibacillus neizhouensis,JSM 071004,26,4,25,30
Saliphagus infecundisoli,YIM 93745,25,25,37,50
Salipiger aestuarii,AD8,25,15,25,40
Salipiger bermudensis,HTCC2601,30,10,30,40
Salipiger manganoxidans,VSW210,36,4,30,40
Salipiger marinus,CK-I3-6,34,4,25,38
Salipiger mucescens,A3T,20,20,32,40
Salipiger nanhaiensis,ZH114T,33,4,32,37
Salipiger pentaromativorans,LMG 25701T,31,10,25,41
Salipiger profundus,JLT2016,20,10,25,30
Salipiger thiooxidans,CHLG 1,27,8,25,35
Salirhabdus euzebyi,CVS-14,35,15,37,50
Salirhabdus euzebyi,CVS-14T,35,15,35,50
Salirhabdus salicampi,BH128T,38,15,35,53
Salisaeta longa,DSM 21114T,25,25,46,50
Salisaeta longa,S4-4,25,25,37,50
Salisediminibacterium haloalkalitolerans,10nlgT,30,20,37,50
Salisediminibacterium halotolerans,halo-2T,46,4,37,50
Salisediminibacterium halotolerans,halo-2,32,18,37,50
Salisediminibacterium locisalis,CG1,35,10,37,45
Saliterribacillus persicus,X4B,25,20,35,45
Salsuginibacillus halophilus,halo-1T,32,18,37,50
Salsuginibacillus halophilus,,46,4,37,50
Salsuginibacillus kocurii,CH9dT,30,20,37,50
Salsuginimonas clara,BCRC 81005T,20,20,30,40
Salsuginimonas clara,LSN-49,20,20,25,40
Salt tolerance,DSM 12178T,30,10,30,40
Salted hide,NCIMB 786,25,20,37,45
Salty leaves,of Pseudomonas halophila and transferred to the genus Halomonas as Halomonas utahensis nom,15,20,28,35
Samara region,"by the ability to degrade xylan, starch and some other polysaccharides, by greater tolerance of acidic pH and by the inability to reduce nitrate",33,4,25,37
Sammlung von,DSM 11002,25,20,42,45
Sammlung von,C37-38T,15,30,37,45
Sammlung von,DSM 3695T,33,4,25,37
Sammlung von,Cd-10T,12,20,28,32
Samples were,JCM 30603T,22,20,30,42
Samsonia erythrinae,CFBP 5236,11,28,28,39
Sandaracinobacter neustonicus,JCM 30734T,33,4,30,37
Sandaracinobacter sibiricus,RB16-17,5,25,30,30
Sandaracinomonas limnophila,FSY-15T,10,20,25,30
Sandaracinus amylolyticus,DSM 53668T,26,18,30,44
Sandaracinus amylolyticus,NOSO-4,24,20,30,44
Sandarakinorhabdus cyanobacteriorum,TH057T,17,20,30,37
Sanger sequencing,Cd-10T,12,20,28,32
Sanguibacter antarcticus,KOPRI 21702,26,4,24.5,30
Sanguibacter antarcticus,KCTC 13143T,26,4,23,30
Sanguibacter gelidistatuariae,ISLP-3,32,3,23,35
Sanguibacter gelidistatuariae,DSM 100501T,32,3,22,35
Sanguibacter marinus,1-19T,22,15,27.5,37
Sanguibacter marinus,1寧19擔,22,15,25,37
Sanguibacter soli,DCY22T,17,25,37,42
Sansalvadorimonas verongulae,RKSG058,27,15,30,42
Saonia flava,MOLA117T,15,15,25,30
Sarcina ureae,ATCC 13881,27,10,25,37
Scanning electron,DSM 14006T,25,40,55,65
Schlegelella aquatica,wcf1T,30,30,50,60
Schlegelella brevitalea,DSM 7029T,17,25,30,42
Schlegelella thermodepolymerans,K14T,23,37,50,60
Schleiferia thermophila,TU-20T,30,30,50,60
Schlesneria paludicola,MPL7T,28,4,15,32
Schwartzia succinivorans,DSM 10502,23,22,39,45
Sciscionella marina,SCSIO 00231,51,4,28,55
Sciscionella marina,KCTC 19433T,27,10,28,37
Scleromatobacter humisilvae,DSM 113115T,26,4,22,30
Scopulibacillus cellulosilyticus,THG-NT9,25,20,28,45
Scopulibacillus daqui,ZQ18-1T,40,20,50,60
Sea coast,DSM 12178T,30,10,30,40
Sediment sampling,DSM 27501T,20,25,30,45
Sedimentibacter acidaminivorans,MO-SEDI,33,4,30,37
Sedimentibacter saalensis,ZF2T,36,4,37,40
Sedimentibacter saalensis,ZF2,26,14,37,40
Sedimentitalea nanhaiensis,NH52F,33,4,25,37
Sedimentitalea todarodis,KHS03,26,4,25,30
Sediminibacillus albus,NHBX5,35,10,37,45
Sediminibacillus halophilus,EN8dT,40,15,37,55
Sediminibacillus terrae,CGMCC 1,30,20,35,50
Sediminibacter furfurosus,MAOS-86T,27,10,30,37
Sediminibacter furfurosus,MAOS-86,27,10,25,37
Sediminibacterium aquarii,AA5T,22,15,30,37
Sediminibacterium ginsengisoli,DCY13T,25,15,30,40
Sediminibacterium goheungense,HME7863,27.5,4,30,42
Sediminibacterium roseum,SYL130,33,4,28,37
Sediminibacterium salmoneum,CGMCC 1,19,18,28,37
Sediminibacterium salmoneum,NJ-44,19,18,22,37
Sediminicoccus rosea,R-30,22,20,37,42
Sediminicola arcticus,PAMC 27266,16,4,15,20
Sediminicola luteus,CNI-3,20,10,20,30
Sediminihabitans luteus,H97-3,32,5,28,37
Sediminimonas qiaohouensis,YIM B024,22,15,29,37
Sediminimonas qiaohouensis,KCTC 22349T,22,15,30,37
Sediminispirochaeta sinaica,SL,22,10,28,32
Sediminitomix flava,Mok-1-85T,25,15,25,40
Sediminivirga luteola,F23T,51,4,36,55
Sediminivirga luteola,F23,51,4,35,55
Segetibacter aerophilus,,15,15,28,30
Segetibacter koreensis,Gsoil 664T,15,15,30,30
Segeticoccus includes,YJ01T,27,10,28,37
Segeticoccus rather,YJ01T,27,10,30,37
Segeticoccus rhizosphaerae,KACC 19547T,27,10,30,37
Segniliparus rotundus,,5,28,33,33
Segniliparus rotundus,CDC 1076,9,28,33,37
Seinonella peptonophila,ATCC 27302,20,25,35,45
Sejongia antarctica,AT1013T,34.8,-6.6,18.9,28.2
Sejongia jeonii,,41.8,-10.9,21.5,30.9
Sejongia marina,IMCC3228T,22,3,15,25
Selected strains,TRO-001DR8T,12,28,35,40
Selenihalanaerobacter shriftii,DSSe-1,26,16,38,42
Seleniivibrio woodruffii,DSM 24984T,17,20,28,37
Seleniivibrio woodruffii,S4,17,20,37,37
Selenomonas bovis,CGMCC 1,19,27,39,46
Selenomonas caprae,JCM 33725T,25,20,37,45
Selenomonas dianae,ATCC 43527,15,30,37,45
Selenomonas flueggei,ATCC 43531,15,30,37,45
Selenomonas infelix,ATCC 43532,15,30,37,45
Selenomonas lipolytica,CFIBT,15,32,40,47
Selenomonas lipolytica,,17,30,40,47
Selenomonas lipolytica,CF1B,11,30,40,41
Selenomonas massiliensis,Marseille-P4036,9,28,37,37
Selenomonas noxia,ATCC 43541,11,30,40,41
Selenomonas sputigena,VPI 10068,20,25,35,45
Sellimonas intestinalis,BR72,20,25,37,45
Senegalimassilia anaerobia,JC110,7,30,37,37
Senegalimassilia faecalis,KGMB04484,9,28,37,37
Seohaeicola saemankumensis,SD-15T,36,4,30,40
Seohaeicola zhoushanensis,NF48T,30,10,30,40
Seokmodo hot,SMD15-11T,30,30,50,60
Seonamhaeicola algicola,Gy8T,36,4,29,40
Seonamhaeicola algicola,Gy8,30,10,30,40
Seonamhaeicola aphaedonensis,AH-M5,20,15,25,35
Seonamhaeicola marinus,B011T,30,10,28,40
Seonamhaeicola maritimus,KCTC 72528T,25,10,28,35
Serinibacter arcticus,DSM 103859T,33,4,28,37
Serinibacter salmoneus,Kis4-28T,27,10,28,37
Serinibacter tropicus,PS-14-7,17,20,28,37
Serinicoccus chungangensis,CAU 9536,20,20,30,40
Serinicoccus hydrothermalis,CGMCC 1,31,4,35,35
Serinicoccus marinus,JC1078,25,10,35,35
Serinicoccus profundi,MCCC 1A05965,25,10,30,35
Serinicoccus sediminis,KCTC 49173T,41,4,37,45
Serpens flexibilis,PFR-1,5,28,30,33
Serpens flexibilis,,13,20,28,33
Serpentinicella alkaliphila,DSM 100013T,13,30,37,43
Serratia aquatilis,2015-2462-01,41,4,28,45
Serratia entomophila,A1T,31,10,30,41
Serratia inhibens,LMG 31467T,27,10,25,37
Serratia microhaemolytica,ZS-11,24,18,32,42
Serratia myotis,CECT 8594T,33,4,20,37
Serratia nematodiphila,DZ0503SBS1,38,4,30,42
Serratia oryzae,J11-6T,36,4,30,40
Serratia oryzae,J11-6,35,10,30,45
Serratia quinivorans,CIP 8195,15,15,30,30
Serratia symbiotica,LMG 25624T,20,10,25,30
Serratia ureilytica,NiVa 51,32,10,28,42
Serratia vespertilionis,CECT 8595T,33,4,20,37
Serratia vespertilionis,52,36,4,20,40
Several data,DSM 11002,25,20,42,45
Several other,DSM 12178T,30,10,30,40
Several strains,DSM 27501T,20,25,30,45
Several strains,KHALHBd91T,30,20,37,50
Shengli oilfield,SK-G1T,25,40,55,65
Shengli oilfield,DSM 107278T,25,40,55,65
Shewanella aestuarii,KACC 16187T,33,4,30,37
Shewanella aestuarii,SC18,33,4,25,37
Shewanella affinis,CIP 107703T,24,10,25,34
Shewanella algicola,ST-6,26,4,20,30
Shewanella algidipiscicola,S13,33,4,25,37
Shewanella amazonensis,SB2B,41,4,37,45
Shewanella arctica,IR12T,24,4,20,28
Shewanella atlantica,HAW-EB5,21,4,10,25
Shewanella benthica,W 145,10,0,5,10
Shewanella canadensis,HAW-EB2,21,4,10,25
Shewanella carassii,08MAS2251T,32,10,35,42
Shewanella chilikensis,JC5T,17,25,29,42
Shewanella chilikensis,JC5,17,25,28,42
Shewanella colwelliana,LST乚W,22,8,25,30
Shewanella corallii,LMG 24563T,27,10,26,37
Shewanella decolorationis,S12T,38,4,30,42
Shewanella decolorationis,S12,36,4,20,40
Shewanella denitrificans,OS217T,26,4,20,30
Shewanella denitrificans,OS217,26,4,20,30
Shewanella dokdonensis,UDC329,30,10,25,40
Shewanella donghaensis,LT17T,17,5,17,22
Shewanella electrodiphila,MAR441T,26,4,15,30
Shewanella electrodiphila,MAR441,30,0,15,30
Shewanella fidelis,KMM 3582,26,4,20,30
Shewanella fodinae,JC15,18,22,30,40
Shewanella fodinae,CCUG 57102T,20,20,30,40
Shewanella frigidimarina,ACAM 122,28,0,21,28
Shewanella gaetbuli,TF-27,35,4,30,39
Shewanella gelidii,RZB5-4T,28,4,26,32
Shewanella gelidii,RZB5-4,28,4,24,32
Shewanella gelidimarina,,23,0,16,23
Shewanella gelidimarina,IC乚P6,23,0,15,23
Shewanella glacialipiscicola,T147,26,4,25,30
Shewanella hafniensis,U1417,21,4,25,25
Shewanella halifaxensis,HAW-EB4,21,4,10,25
Shewanella haliotis,DW01T,32,10,37,42
Shewanella hanedai,ATCC 33224,25,0,15,25
Shewanella indica,KJW27,35,10,37,45
Shewanella inventionis,KX27T,33,4,28,37
Shewanella irciniae,UST040317-058,40,4,28,44
Shewanella japonica,KMM 3299,27,10,22.5,37
Shewanella kaireitica,JCM 11836T,26,2,24,28
Shewanella kaireitica,c959,19,2,13,21
Shewanella litoralis,KCTC 62129T,26,4,25,30
Shewanella litorisediminis,SMK1-12,30,10,30,40
Shewanella loihica,PV-4T,42,0,18,42
Shewanella mangrovi,YQH10T,38,4,28,42
Shewanella marina,KCTC 22185T,33,4,30,37
Shewanella marinintestina,,23,4,23,27
Shewanella marinintestina,JCM 11558T,26,4,20,30
Shewanella maritima,KCTC 72040T,26,10,29,36
Shewanella morhuae,U1417,21,4,25,25
Shewanella olleyana,ACEM 9T,28,2,21,30
Shewanella olleyana,ACEM 9,28,2,20,30
Shewanella oneidensis,MR-1,36,4,30,40
Shewanella pacifica,KMM 3597,29,4,20,33
Shewanella pacifica,CIP 107849T,29,4,25,33
Shewanella pealeana,ANG-SQ1T,26,4,25,30
Shewanella piezotolerans,,28,0,17.5,28
Shewanella piezotolerans,JCM 13877T,28,0,20,28
Shewanella pneumatophori,SCRC-2738,28,4,27,32
Shewanella profunda,LT13a,33,4,25,37
Shewanella psychrophila,,20,0,12.5,20
Shewanella psychrophila,JCM 13876T,20,0,10,20
Shewanella sairae,SM2-1,23,4,20,27
Shewanella saliphila,KCTC 62131T,26,4,25,30
Shewanella schlegeliana,JCM 11561T,28,4,20,32
Shewanella sediminis,HAW-EB3T,21,4,10,25
Shewanella seohaensis,S7-3,36,4,30,40
Shewanella spongiae,HJ039T,21,5,15,26
Shewanella submarina,KCTC 52277T,17,20,30,37
Shewanella ulleungensis,KCTC 62130T,26,4,25,30
Shewanella upenei,20-23R,30,10,30,40
Shewanella vesiculosa,M7T,34,-4,17.5,30
Shewanella vesiculosa,M7,34,-4,15,30
Shewanella waksmanii,KMM 3823,26,4,22.5,30
Shewanella waksmanii,CIP 107701T,26,4,20,30
Shewanella woodyi,ATCC 51908,21,4,25,25
Shewanella xiamenensis,S4T,33,4,30,37
Shimazuella kribbensis,KCTC 9933T,30,20,32,50
Shimia abyssi,JAMH 043,20,10,25,30
Shimia aquaeponti,GJSW-22,25,10,30,35
Shimia biformata,CC-AMW-CT,25,10,30,40
Shimia biformata,CC-AMW-C,20,20,30,40
Shimia haliotis,WM35T,22,15,30,37
Shimia isoporae,SW6,10,20,25,30
Shimia marina,CL-TA03T,20,15,32.5,35
Shimia marina,CL-TA03,20,15,30,35
Shimia ponticola,WX04T,20,15,30,35
Shinella curvata,JCM 31239T,41,4,28,45
Shinella granuli,Ch06T,36,4,30,40
Shinella kummerowiae,CCBAU 25048,5,25,28,30
Shinella pollutisoli,KCTC 52677T,22,15,30,37
Shinella yambaruensis,NBRC 102122T,27,15,30,42
Shinella yambaruensis,MS4,27,15,25,42
Shivajiella indica,NIO-S1,12,25,30,37
Short rod,JCM 30603T,22,20,30,42
Short rods,FH042T,25,10,30,35
Shotgun project,Cd-10T,12,20,28,32
Shows weak,DSM 12178T,30,10,30,40
Siansivirga jejuensis,JHH-2,22,15,25,37
Siansivirga zeaxanthinifaciens,CC-SAMT-1,22,15,30,37
Siccationidurans ginsengisoli,DCY57,30,4,30,34
Siccationidurans metalli,A2-91,26,4,25,30
Siccirubricoccus deserti,CGMCC 1,41,4,28,45
Sideroxydans lithotrophicus,ES-1,25,10,30,35
Silanimonas algicola,M23T,27,15,25,42
Silanimonas lenta,25-4T,28,25,47,53
Silanimonas mangrovi,DSM 24914T,30,10,30,40
Silicibacter pomeroyi,DSS-3T,30,10,30,40
Silicimonas algicola,KC90B,30,10,25,40
Silvanigrella aquatica,MWH-Nonnen-W8redT,22,10,20,32
Silvibacterium bohemicum,S15,8,20,22,28
Silvimonas amylolytica,ir6-4,35,5,30,40
Silvimonas iriomotensis,NBRC 103188T,35,5,30,40
Silvimonas terrae,KM-45,25,15,25,40
Silvimonas terrae,KCTC 12358T,30,10,25,40
Simiduia aestuariiviva,J-MY2,25,15,30,40
Simiduia agarivorans,SA1,25,15,30,40
Simiduia areninigrae,M2-5,27,10,25,37
Simiduia curdlanivorans,DMCK3-4,25,10,30,35
Simiduia litorea,KMM 9504,29,7,28,36
Simplicispira lacusdiani,KCTC 52093T,27,10,28,37
Simplicispira limi,EMB325,30,10,30,40
Simplicispira piscis,RSG39T,33,4,20,37
Simplicispira soli,CA-16,22,15,20,37
Simplicispira suum,KACC 19329T,33,4,30,37
Simplicispira suum,SC1-8,33,4,28,37
Simplocospira piscis,RSG39T,33,4,20,37
Simulacricoccus ruber,DSM 106554T,16,18,30,34
Since most,WN011T,25,15,35,40
Since there,T9T,30,10,30,40
Single colonies,DSM 24923T,37,20,45,57
Singulisphaera acidiphila,DSM 18658T,29,4,20,33
Singulisphaera rosea,S26T,29,4,20,33
Sinibacillus soli,GD05T,50,20,50,70
Sinibacillus soli,GD05,33,30,50,63
Sinimarinibacterium flocculans,CGMCC 1,30,14,40,44
Sinirhodobacter hungdaonensis,L3,20,15,30,35
Sinobaca qinghaiensis,YIM 70212,35,10,28,45
Sinobacter flavus,CW-KD 4,25,10,30,35
Sinobacterium caligoides,SCSWE24,33,4,20,37
Sinobacterium norvegicum,3CM4,16,4,18,20
Sinococcus qinghaiensis,KCTC 3943T,35,10,28,45
Sinomicrobium oceani,SCSIO 03483,35,10,28,45
Sinomicrobium oceani,KCTC 23994T,35,10,37,45
Sinomicrobium pectinilyticum,5DNS001T,35,10,25,45
Sinomicrobium soli,KCTC 52339T,35,10,28,45
Sinomonas albida,LC13,30,10,30,40
Sinomonas echigonensis,LC10,30,10,30,40
