species_name,source_file,growth_temperature_combined,raw_output_combined,Tmin_list,Tmax_list,Topt_list,Tmin,Tmax,Topt
Streptomyces koyangensis,"Lee-2005-Streptomyces koyangensis sp nov., a n",28,,,,28.0,,,28
Streptomyces kronopolitis,"Liu-2016-Streptomyces kronopolitis sp nov., an","12-38°C (optimum 28°C) | 12-38°C, optimum 28°C",,12.0,38.0,28.0,12,38,28
Streptomyces krungchingensis,Sripreechasak-2017-Streptomyces krungchingensi,15-45°C | 15-37°C,,15.0,45.0,,15,45,
Streptomyces lacrimifluminis,Zhang-2016-Streptomyces lacrimifluminis sp nov,4-37°C (optimum 30°C) | 20–40°C (optimum 30°C),,4.0,37.0,30.0,4,37,30
Streptomyces lacticiproducens,Zhu-2011-Streptomyces lacticiproducens sp. nov,28,,,,28.0,,,28
Streptomyces laculatispora,Zucchi-2012-Streptomyces brevispora sp nov and,4 to 30 °C,,4.0,30.0,,4,30,
Streptomyces laculatispora sp. nov.,Zucchi-2012-Streptomyces brevispora sp nov and,28,,,,28.0,,,28
Streptomyces lasiicapitis,"Ye-2017-Streptomyces lasiicapitis sp nov., an",28°C | 10-38°C,,10.0,38.0,28.0,10,38,28
Streptomyces litoralis,"Ma-2016-Streptomyces litoralis sp nov., isolat",16-42°C (optimal 28°C) | 16-42°C (optimal at 28°C),,16.0,42.0,28.0,16,42,28
Streptomyces longwoodensis,Prosser-1976-Streptomyces-Longwoodensis Sp-Nov,10-45°C,,10.0,45.0,,10,45,
Streptomyces lopnurensis,"Zheng-2014-Streptomyces lopnurensis sp nov., a",23-38°C (optimum 28-37°C) | 23-38 °C (optimum 37 °C),,23.0,38.0,37.0,23,38,37
Streptomyces lunalinharesii,de Souza-2008-Streptomyces lunalinharesii sp n,28,,,,28.0,,,28
Streptomyces luteus,"Luo-2017-Streptomyces luteus sp nov., an actin","16-40°C, optimum 37°C | 25-40°C, optimum 37°C",,16.0,40.0,37.0,16,40,37
Streptomyces malaysiensis,Al-Tai-1999-Streptomyces malaysiensis sp nov,28-30°C,,28.0,30.0,,28,30,
Streptomyces mangrovi,"Wang-2015-Streptomyces mangrovi sp nov., an ac",15-45 (37) | 15-45°C (optimum 37°C),,15.0,45.0,37.0,15,45,37
Streptomyces marinus,"Khan-2010-Streptomyces tateyamensis sp nov., S","20-30°C (optimally at 25-28°C), weak growth at 15 and 37°C",,20.0,30.0,26.5,20,30,26.5
Streptomyces marokkonensis,Bouizgarne-2009-Streptomyces marokkonensis sp,"28 | 15-40°C, optimal at 28-30°C",,15.0,40.0,29.0,15,40,29
Streptomyces mediocidicus comb. nov.,Wellington-1992-Taxonomic Status of Kitasatosp,30°C,,,,30.0,,,30
Streptomyces mexicanus,Petrosyan-2003-Streptomyces mexicanus sp nov,5-60°C (good growth at 37°C and 50°C) | 20-55 °C,,5.0,60.0,,5,60,
Streptomyces milbemycinicus,Kumar-2010-Reclassification of Streptomyces hy,18 to 55 °C,,18.0,55.0,,18,55,
Streptomyces mordarskii,Kumar-2008-Five new members of the Streptomyce,10°C | 10-37°C,,10.0,37.0,,10,37,
Streptomyces muensis,"Wink-2017-'Streptomyces caelicus', an antibiot",25-37°C,,25.0,37.0,,25,37,
Streptomyces nanshensis,"Tian-2009-Streptomyces nanshensis sp nov., iso",28 | 10-37°C,,10.0,37.0,28.0,10,37,28
Streptomyces odonnellii,Pereira-2017-Streptomyces odonnellii sp nov,28°C,,,,28.0,,,28
Streptomyces osmaniensis,"Reddy-2010-Streptomyces osmaniensis sp nov., i",28 | 15-40 °C,,15.0,40.0,28.0,15,40,28
Streptomyces ovatisporus,Veyisoglu-2016-Streptomyces ovatisporus sp nov,28 | 28-37°C,,28.0,37.0,28.0,28,37,28
Streptomyces palmae,"Sujarit-2016-Streptomyces palmae sp nov., isol",15-45°C (optimal 30-35°C) | 30-35°C,,15.0,45.0,32.5,15,45,32.5
Streptomyces panacagri,"Cui-2012-Streptomyces panacagri sp nov., isola",4-45°C (optimal 30°C) | 20-30 °C,,4.0,45.0,30.0,4,45,30
Streptomyces panaciradicis,"Lee-2014-Streptomyces panaciradicis sp nov., a",10-37°C (optimum 28°C),,10.0,37.0,28.0,10,37,28
Streptomyces paucisporeus,Xu-2006-Neutrotolerant acidophilic Streptomyce,28 | 20-37°C,,20.0,37.0,28.0,20,37,28
Streptomyces pharmamarensis,Carro-2012-Streptomyces pharmamarensis sp nov,"28 | 20-30°C (optimum), not at 37°C",,20.0,30.0,28.0,20,30,28
Streptomyces phosalacineus comb. nov.,Wellington-1992-Taxonomic Status of Kitasatosp,30°C,,,,30.0,,,30
Streptomyces phyllanthi,Klykleung-2016-Streptomyces phyllanthi sp nov,28-30°C | 20-40°C,,20.0,40.0,,20,40,
Streptomyces pini,"Madhaiyan-2016-Streptomyces pini sp nov., an a",4-45°C (optimal 30°C) | 25-45°C (optimum 30°C),,4.0,45.0,30.0,4,45,30
Streptomyces plumbiresistens,Guo-2009-Streptomyces plumbiresistens sp nov,28 | 10-45 °C,,10.0,45.0,28.0,10,45,28
Streptomyces pluripotens,"Lee-2014-Streptomyces pluripotens sp nov., a b",4-56°C | 24-40°C (optimum 28-32°C) | 24-40 °C (optimum 28-32 °C),,"4.0, 24.0","40.0, 56.0",30.0,4,56,30
Streptomyces polyantibioticus,le Roes-Hill-2009-Streptomyces polyantibioticu,28-30°C | 4-30°C | 30,,4.0,30.0,30.0,4,30,30
Streptomyces polygonati,"Guo-2016-Streptomyces polygonati sp nov., an e",15-32 °C (optimum 28 °C),,15.0,32.0,28.0,15,32,28
Streptomyces pratens,"Kim-2012-Streptomyces herbaceus sp nov., Strep",28 | 10-37 °C,,10.0,37.0,28.0,10,37,28
Streptomyces qinglanensis,"Hu-2012-Streptomyces qinglanensis sp nov., iso",4-37°C (optimal 28°C) | 15-37 °C (optimum 28 °C),,4.0,37.0,28.0,4,37,28
Streptomyces radiopugnans,"Mao-2007-Streptomyces radiopugnans sp nov., a",28 | 20-50 °C,,20.0,50.0,28.0,20,50,28
Streptomyces rapamycinicus,Kumar-2008-Five new members of the Streptomyce,10-37°C,,10.0,37.0,,10,37,
Streptomyces rhizophilus,Lee-2014-Streptomyces graminisoli sp nov and S,28 | 25-37°C (optimum 28°C),,25.0,37.0,28.0,25,37,28
Streptomyces rhizosphaerihabitans,Lee-2016-Streptomyces rhizosphaerihabitans sp,28 | 4-37°C (optimum 28°C),,4.0,37.0,28.0,4,37,28
Streptomyces roietensis,Kaewkla-2017-Streptomyces roietensis sp nov,37 | 15-45°C (good growth at 27-37°C),,15.0,45.0,37.0,15,45,37
Streptomyces ruanii,Kumar-2008-Five new members of the Streptomyce,10-37°C,,10.0,37.0,,10,37,
Streptomyces rubidus,Xu-2006-Neutrotolerant acidophilic Streptomyce,28 | 20-37°C,,20.0,37.0,28.0,20,37,28
Streptomyces rubrisoli,"Guo-2015-Streptomyces rubrisoli sp nova, neutr",21-50 °C | 21-50°C (optimal 25-30°C),,21.0,50.0,27.5,21,50,27.5
Streptomyces salilacus,"Luo-2018-Streptomyces salilacus sp nov., an ac",25-50°C (optimum 28°C) | 25-50°C with optimum at 28°C,,25.0,50.0,28.0,25,50,28
Streptomyces sannanensis,Iwasaki-1981-Streptomyces-Sannanensis Sp-Nov,17-37°C (optimum 27-34°C),,17.0,37.0,30.5,17,37,30.5
Streptomyces sanyensis,"Sui-2011-Streptomyces sanyensis sp nov., isola",10-40 °C (optimum 28 °C),,10.0,40.0,28.0,10,40,28
Streptomyces sasae,"Lee-2015-Streptomyces sasae sp nov., isolated",4-37°C (optimum 28°C),,4.0,37.0,28.0,4,37,28
Streptomyces scopiformis,"Li-2002-Streptomyces scopiformis sp nov., a no",28 | 20-45 °C,,20.0,45.0,28.0,20,45,28
Streptomyces scopuliridis,Farris-2011-Streptomyces scopuliridis sp nov,15-37 °C (optimum 25 °C) | 15-37 °C,,15.0,37.0,25.0,15,37,25
Streptomyces sedi,"Li-2009-Streptomyces sedi sp nov., isolated fr",28 | 15-37°C,,15.0,37.0,28.0,15,37,28
Streptomyces seoulensis,Chun-1997-Streptomyces seoulensis sp nov,30,,,,30.0,,,30
Streptomyces setae comb. nov.,Wellington-1992-Taxonomic Status of Kitasatosp,30°C,,,,30.0,,,30
Streptomyces shaanxiensis,"Lin-2012-Streptomyces shaanxiensis sp nov., a",28 °C | 20-37 °C,,20.0,37.0,28.0,20,37,28
Streptomyces silaceus,Labeda-2009-Streptomyces atriruber sp nov and,15-37 °C,,15.0,37.0,,15,37,
Streptomyces silaceus sp. nov.,Labeda-2009-Streptomyces atriruber sp nov and,37,,,,37.0,,,37
Streptomyces smyrnaeus,Tatar-2014-Streptomyces iconiensis sp nov and,28 | 28-45 °C,,28.0,45.0,28.0,28,45,28
Streptomyces sodiiphilus,"Li-2005-Streptomyces sodiiphilus sp nov., a no",28 | 28°C,,,,28.0,,,28
Streptomyces solisilvae,"Zhou-2017-Streptomyces solisilvae sp nov., iso",20-40°C (optimum 28°C) | 20-40°C,,20.0,40.0,28.0,20,40,28
Streptomyces sp. AP19,Wu-2008-Taxonomic study of a chromomycin-produ,28,,,,28.0,,,28
Streptomyces sp. strain 91-Sy-13,Takeuchi-1996-Phylogenetic analysis of Strepto,no growth at 37°C,,,,37.0,,,37
Streptomyces sparsus,"Jiang-2011-Streptomyces sparsus sp nov., isola",28,,,,28.0,,,28
Streptomyces specialis,Kampfer-2008-Streptomyces specialis sp nov,25-28°C | 25-30 °C,,25.0,30.0,,25,30,
Streptomyces spinoverrucosus,"Diab-1982-Streptomyces-Spinoverrucosus, a New",30,,,,30.0,,,30
Streptomyces spitsbergensis,Wieczorek-1993-Streptomyces-Spitsbergensis Sp-,"25 to 35°C (optimum), growth at 10 and 37°C but not at 4 and 45°C",,10.0,37.0,25.0,10,37,25
Streptomyces spitsbergensis sp. nov.,Wieczorek-1993-Streptomyces-Spitsbergensis Sp-,25 to 37°C,,25.0,37.0,,25,37,
Streptomyces spongiicola,"Huang-2016-Streptomyces spongiicola sp nov., a",20-40 °C (optimum 28 °C) | 20-40°C with optimum at 28°C,,20.0,40.0,28.0,20,40,28
Streptomyces staurosporininus,Kim-2012-Streptomyces staurosporininus sp nov,28 | 10 to 30 °C,,10.0,30.0,28.0,10,30,28
Streptomyces stramineus,"Labeda-1997-Streptomyces stramineus sp. nov, a",28 | 10-42°C,,10.0,42.0,28.0,10,42,28
Streptomyces sundarbansensis,Arumugam-2011-Streptomyces sundarbansensis sp,30 | 25-35 °C (optimally at 30 °C),,25.0,35.0,30.0,25,35,30
Streptomyces synnematoformans,Hozzein-2007-Streptomyces synnematoformans sp,28 | 10 to 37 °C,,10.0,37.0,28.0,10,37,28
Streptomyces tacrolimicus,Martinez-Castro-2011-Streptomyces tacrolimicus,16-30 °C,,16.0,30.0,,16,30,
Streptomyces tacrolimicus sp. nov.,Martinez-Castro-2011-Streptomyces tacrolimicus,28,,,,28.0,,,28
Streptomyces tateyamensis,"Khan-2010-Streptomyces tateyamensis sp nov., S",15-37°C (optimal 25-30°C),,15.0,37.0,,15,37,
Streptomyces thermoalcalitolerans,Kim-1999-Classification of thermophilic strept,45 | 25-55 °C,,25.0,55.0,45.0,25,55,45
Streptomyces thermoalcalitolerans,"Kim-2002-Amycolatopsis eurytherma sp nov., a t",thermophilic,,,,,,,
Streptomyces thermocarboxydovorans,Groth-2003-Kitasatospora putterlickiae sp nov,moderately thermophilic,,,,,,,
Streptomyces thermocarboxydovorans,Groth-2004-Five novel Kitasatospora species fr,moderately thermophilic,,,,,,,
Streptomyces thermocarboxydovorans,Han-2003-Salinibacterium amurskyense gen. nov,moderately thermophilic,,,,,,,
Streptomyces thermocarboxydovorans,Kim-1998-Streptomyces thermocarboxydovorans sp,45 °C | 20-55 °C,,20.0,55.0,45.0,20,55,45
Streptomyces thermocarboxydovorans,"Kim-1999-Gordonia desulfuricans sp nov., a ben",moderately thermophilic,,,,,,,
Streptomyces thermocarboxydovorans,"Kim-2002-Amycolatopsis eurytherma sp nov., a t",moderately thermophilic,,,,,,,
Streptomyces thermocarboxydovorans,"Yu-2016-Marinibaculum pumilum gen. nov., sp no",moderately thermophilic,,,,,,,
Streptomyces thermocarboxydus,Groth-2003-Kitasatospora putterlickiae sp nov,moderately thermophilic,,,,,,,
Streptomyces thermocarboxydus,Groth-2004-Five novel Kitasatospora species fr,moderately thermophilic,,,,,,,
Streptomyces thermocarboxydus,Han-2003-Salinibacterium amurskyense gen. nov,moderately thermophilic,,,,,,,
Streptomyces thermocarboxydus,Kim-1998-Streptomyces thermocarboxydovorans sp,45 °C | 20-55 °C,,20.0,55.0,45.0,20,55,45
Streptomyces thermocarboxydus,"Kim-1999-Gordonia desulfuricans sp nov., a ben",moderately thermophilic,,,,,,,
Streptomyces thermocarboxydus,"Kim-2002-Amycolatopsis eurytherma sp nov., a t",moderately thermophilic,,,,,,,
Streptomyces thermocarboxydus,"Yu-2016-Marinibaculum pumilum gen. nov., sp no",moderately thermophilic,,,,,,,
Streptomyces thermocoprophilus,Kim-2000-Streptomyces thermocoprophilus sp nov,45 | 20-50 °C,,20.0,50.0,45.0,20,50,45
Streptomyces thermogriseus,"Xu-1998-Streptomyces thermogriseus, a new spec",55-60°C (upper limit 65-68°C) | 65-68 °C,,55.0,68.0,,55,68,
Streptomyces thermolineatus,Kim-1996-Analysis of thermophilic clades withi,28-55°C,,28.0,55.0,,28,55,
Streptomyces thermospinisporus,Groth-2003-Kitasatospora putterlickiae sp nov,moderately thermophilic,,,,,,,
Streptomyces thermospinisporus,Kim-2002-Streptomyces thermospinisporus sp nov,45 °C (optimal),,,,45.0,,,45
Streptomyces thinghirensis,Loqman-2009-Streptomyces thinghirensis sp nov,28 | 28 to 42 °C,,28.0,42.0,,28,42,
Streptomyces tremellae,"Wen-2016-Streptomyces tremellae sp nov., isola",15-40°C (optimum 28-30°C) | 10-45°C,,15.0,40.0,29.0,15,40,29
Streptomyces tritici,"Zhao-2018-Streptomyces tritici sp nov., a nove","18-40°C (optimum 28°C) | 18-40°C, optimum 28°C",,18.0,40.0,28.0,18,40,28
Streptomyces tyrosinilyticus,Zhao-2015-Streptomyces tyrosinilyticus sp nov,15-37 °C (optimum 28 °C) | 15-37°C (optimum 28°C),,15.0,37.0,28.0,15,37,28
Streptomyces verrucosisporus,Phongsopitanun-2016-Streptomyces verrucosispor,20-45°C (optimum 30-37°C),,20.0,45.0,,20,45,
Streptomyces vietnamensis,"Zhu-2007-Streptomyces vietnamensis sp nov., a",28,,,,28.0,,,28
Streptomyces viridis,Kim-2013-Streptomyces chlorus sp nov and Strep,10 to 37 °C (optimum 30 °C),,10.0,37.0,30.0,10,37,30
Streptomyces viridis sp. nov.,Kim-2013-Streptomyces chlorus sp nov and Strep,28,,,,28.0,,,28
Streptomyces wuyuanensis,"Zhang-2013-Streptomyces wuyuanensis sp nov., a","15-40 °C, optimum at 28 °C | 15-40 °C (optimum 28 °C)",,15.0,40.0,28.0,15,40,28
Streptomyces xiamenensis,"Xu-2009-Streptomyces xiamenensis sp nov., isol",15-37 °C (optimal 28 °C) | 28-37°C,,15.0,37.0,28.0,15,37,28
Streptomyces xinghaiensis,"Zhao-2009-Streptomyces xinghaiensis sp nov., i",10-45 °C | 10-45 °C (optimum 28 °C),,10.0,45.0,28.0,10,45,28
Streptomyces xishensis,"Xu-2012-Streptomyces glycovorans sp nov., Stre",28-37°C | 28-37 °C,,28.0,37.0,,28,37,
Streptomyces yaanensis,"Zheng-2013-Streptomyces yaanensis sp nov., iso",28 °C | 15-45°C (optimum 28°C),,15.0,45.0,28.0,15,45,28
Streptomyces yanglinensis,Xu-2006-Neutrotolerant acidophilic Streptomyce,28,,,,28.0,,,28
Streptomyces yangpuensis,"Tang-2016-Streptomyces yangpuensis sp nov., is","10-40°C (optimally at 28-30°C) | 10-40 °C, optimum 28-30 °C",,10.0,40.0,29.0,10,40,29
Streptomyces yanii,Liu-2005-Classification of Streptomyces griseu,30 | 18-35 °C,,18.0,35.0,30.0,18,35,30
Streptomyces yeochonensis,Kim-2004-Taxonomic study of neutrotolerant aci,25-37°C,,25.0,37.0,,25,37,
Streptomyces youssoufiensis,Hamdali-2011-Streptomyces youssoufiensis sp no,28 | 28-42 °C,,28.0,42.0,,28,42,
Streptomyces yunnanensis,"Zhang-2003-Streptomyces yunnanensis sp nov., a",25-30°C (optimum 28°C) | 28,,25.0,30.0,28.0,25,30,28
Streptomyces zhaozhouensis,"He-2014-Streptomyces zhaozhouensis sp nov., an",28 °C | 16-35 °C,,16.0,35.0,28.0,16,35,28
Streptomyces zinciresistens,Lin-2011-Streptomyces zinciresistens sp. nov,20-37°C (optimal 28°C) | 20-37 °C (optimum 28 °C),,20.0,37.0,28.0,20,37,28
Streptomyces ziwulingensis,"Lin-2013-Streptomyces ziwulingensis sp nov., i",28 | 20-37 °C (optimum 28 °C),,20.0,37.0,28.0,20,37,28
Streptosporangium algeriense,Boubetra-2016-Streptosporangium algeriense sp,30 | 30 °C (optimal); no growth at 15 or 45 °C,,15.0,45.0,30.0,15,45,30
Streptosporangium becharense,Chaouch-2016-Streptosporangium becharense sp n,"20-42°C (optimum 25-37°C) | 20-42°C, with optimal growth at 25-37°C",,20.0,42.0,,20,42,
Streptosporangium canum,"Zhang-2009-Streptosporangium canum sp nov., is",28,,,,28.0,,,28
Streptosporangium corrugatum,Williams-1976-Streptosporangium-Corrugation-Sp,25,,,,25.0,,,25
Streptosporangium fragile,Shearer-1983-Streptosporangium-Fragile Sp-Nov,15 to 45°C,,15.0,45.0,,15,45,
Streptosporangium jiaoheense,Zhao-2016-Streptosporangium jiaoheense sp nov,28°C | 10-37°C,,10.0,37.0,28.0,10,37,28
Streptosporangium jomthongense,Intra-2014-Streptosporangium jomthongense sp n,"28°C (isolation), 27°C (culture characteristics observation) | 12-42 °C (optimum 18-40 °C) | 12-42",,12.0,42.0,,12,42,
Streptosporangium purpuratum,Zhang-2005-Streptosporangium yunnanense sp nov,"28 | 28°C optimal, grows at 42 and 50°C",,,50.0,28.0,,50,28
Streptosporangium saharense,Chaouch-2016-Streptosporangium saharense sp no,20-42 °C | 20-42°C (optimum 25-37°C),,20.0,42.0,,20,42,
Streptosporangium sandarakinum,Kampfer-2013-Streptosporangium sandarakinum sp,27 | Optimum 28-30°C; growth at 20-36°C but not at 15°C or 45°C on TSA,,20.0,36.0,28.0,20,36,28
Streptosporangium subroseum,Zhang-2002-Streptosporangium subroseum sp nov,"30 °C (optimal); growth at 10-42 °C, no growth at 50 °C | 28-30 °C (optimal), 10-42 °C (range)",,10.0,42.0,30.0,10,42,30
Streptosporangium taraxaci,Zhao-2016-Streptosporangium jiaoheense sp nov,28°C | 10-37°C,,10.0,37.0,28.0,10,37,28
Streptosporangium yunnanense,Zhang-2005-Streptosporangium yunnanense sp nov,"30 | 30°C optimal, 10-42°C range",,10.0,42.0,30.0,10,42,30
Stygiolobus azoricus,Liu-1996-Thermoanaerobacterium aotearoense sp,extremely thermoacidophilic,,,,,,,
Subsaxibacter arcticus,"Xu-2016-Subsaxibacter arcticus sp nov., isolat",10-30 °C | 10-30 °C (optimum 25 °C),,10.0,30.0,25.0,10,30,25
Subsaxibacter broadyi,Bowman-2005-Novel members of the family Flavob,"15-25°C (optimal), up to 22-20°C on MA, not at 30°C or higher | 1-15°C (moderate to good), weak at 20°C, no growth at 25°C or higher",,1.0,25.0,15.0,1,25,15
Subsaxibacter sediminis,"Sharma-2018-Subsaxibacter sediminis sp nov., i",5-20°C (optimum 15°C),,5.0,20.0,15.0,5,20,15
Subsaximicrobium saxinquilinus,Bowman-2005-Novel members of the family Flavob,"15-25°C (optimal), up to 22-20°C on MA, not at 30°C or higher | 1-20°C (optimal), no growth at 25°C or higher",,1.0,25.0,15.0,1,25,15
Subsaximicrobium wynnwilliamsii,Bowman-2005-Novel members of the family Flavob,"15-25°C (optimal), up to 22-20°C on MA, not at 30°C or higher | 1-20°C (optimal), up to 22°C, weak or negative at 25°C",,1.0,25.0,15.0,1,25,15
Subtercola boreus,Han-2003-Salinibacterium amurskyense gen. nov,psychrophilic,,,,,,,
Subtercola boreus,"Mannisto-2000-Subtercola boreus gen. nov., sp","down to -2°C, optimum at 15-17°C, no growth at 30°C | 2-28 °C",,-2.0,28.0,16.0,-2,28,16
Subtercola boreus,Schumann-2009-Proposed minimal standards for d,psychrophilic,,,,,,,
Subtercola boreus,"Zhang-2016-Huakuichenia soli gen. nov., sp nov",psychrophilic,,,,,,,
Subtercola boreus,Zhi-2009-An update of the structure and 16S rR,psychrophilic,,,,,,,
Subtercola frigoramans,Han-2003-Salinibacterium amurskyense gen. nov,psychrophilic,,,,,,,
Subtercola frigoramans,"Mannisto-2000-Subtercola boreus gen. nov., sp","down to -2°C, optimum at 15-17°C, no growth at 30°C | -2°C to 28 °C",,-2.0,28.0,16.0,-2,28,16
Subtercola frigoramans,Schumann-2009-Proposed minimal standards for d,psychrophilic,,,,,,,
Subtercola frigoramans,"Zhang-2016-Huakuichenia soli gen. nov., sp nov",psychrophilic,,,,,,,
Subtercola frigoramans,Zhi-2009-An update of the structure and 16S rR,psychrophilic,,,,,,,
Subtercola lobariae,"Si-2017-Subtercola lobariae sp nov., an actino",4 to 28°C | 4-28°C (optimum 20°C),,4.0,28.0,20.0,4,28,20
Subtercola pratensis,Behrendt-2002-Diversity of grass-associated Mi,"Optimum growth temperature is about 25 °C. At 4 °C, grows slowly; at -2°C, growth also occurs, but is even slower",,-2.0,,25.0,-2,,25
Subtercola sp. nov. (genotype F),Behrendt-2002-Diversity of grass-associated Mi,25,,,,25.0,,,25
Succiniclasticum ruminis,Vangylswyk-1995-Succiniclasticum Ruminis Gen-N,"39°C (no growth at 22°C, reduced growth at 45°C) | 39°C (optimal), no growth at 22°C",,22.0,45.0,39.0,22,45,39
Succinispira mobilis,"Janssen-1999-Succinispira mobilis gen. nov., s","30 | 37 °C optimum, no growth at 40 °C",,,40.0,37.0,,40,37
Sulfitobacter brevis,"Labrenz-2000-Staleya guttiformis gen. nov., sp",20 °C | -3 to 33.5°C | 3-26 °C optimal,,3.0,26.0,20.0,3,26,20
Sulfitobacter delicatus,Ivanova-2004-Sulfitobacter delicatus sp nov an,12-37 °C,,12.0,37.0,,12,37,
Sulfitobacter delicatus sp. nov.,Ivanova-2004-Sulfitobacter delicatus sp nov an,12-37°C,,12.0,37.0,,12,37,
Sulfitobacter donghicola,Yoon-2007-Description of Sulfitobacter donghic,25°C | 10-31°C (optimum 25°C),,10.0,31.0,25.0,10,31,25
Sulfitobacter dubius,Ivanova-2004-Sulfitobacter delicatus sp nov an,10-30 °C,,10.0,30.0,,10,30,
Sulfitobacter dubius sp. nov.,Ivanova-2004-Sulfitobacter delicatus sp nov an,10-30°C,,10.0,30.0,,10,30,
Sulfitobacter faviae,"Kumari-2016-Sulfitobacter faviae sp nov., isol",10-40°C (optimum 25-30°C),,10.0,40.0,,10,40,
Sulfitobacter geojensis sp. nov.,"Kwak-2014-Sulfitobacter geojensis sp nov., Sul","4-45°C, optimal 25°C | 4-30 °C, optimum 25 °C",,4.0,45.0,25.0,4,45,25
Sulfitobacter indolifex,Liu-2017-Proposal for transfer of Oceanibulbus,10-30 (25-30),,10.0,30.0,,10,30,
Sulfitobacter marinus sp. nov.,"Yoon-2007-Sulfitobacter marinus sp nov., isola",30 | 4-35°C,,4.0,35.0,30.0,4,35,30
Sulfitobacter noctilucae sp. nov.,"Kwak-2014-Sulfitobacter geojensis sp nov., Sul","4-45°C, optimal 25°C | 4-30 °C, optimum 30 °C",,4.0,"30.0, 45.0","25.0, 30.0",4,45,27.5
Sulfitobacter noctilucicola,"Kwak-2014-Sulfitobacter geojensis sp nov., Sul",4-30 °C,,4.0,30.0,,4,30,
Sulfitobacter noctilucicola sp. nov.,"Kwak-2014-Sulfitobacter geojensis sp nov., Sul","4-45°C, optimal 25°C",,4.0,45.0,25.0,4,45,25
Sulfitobacter porphyrae,"Fukui-2014-Sulfitobacter porphyrae sp nov., is",5-40 °C (optimal 30 °C) | 5-35 °C (optimum 30 °C),,5.0,40.0,30.0,5,40,30
Sulfitobacter pseudonitzschiae,Hong-2015-Sulfitobacter pseudonitzschiae sp no,10-37°C | 10-37 °C (optimum 28 °C),,10.0,37.0,28.0,10,37,28
Sulfobacillus disulfidooxidans,Dufresne-1996-Sulfobacillus disulfidooxidans s,"4 to 40°C (optimal 35°C) | 4 to 40°C, optimum at 35°C",,4.0,40.0,35.0,4,40,35
Sulfobacillus sibiricus,"Watanabe-2015-Limnochorda pilosa gen. nov., sp",moderately thermophilic,,,,,,,
Sulfobacillus thermotolerans,Bogdanova-2006-Sulfobacillus thermotolerans sp,"20-60 °C, optimum at 40 °C",,20.0,60.0,40.0,20,60,40
Sulfodiicoccus acidiphilus,Sakai-2017-Sulfodiicoccus acidiphilus gen. nov,50-70°C (optimal: 65-70°C) | 50-70°C (optimal 65-70°C),,50.0,70.0,67.5,50,70,67.5
Sulfolobus yangmingensis,Jan-1999-A novel species of thermoacidophilic,80 °C (range 65-95 °C) | 65-90°C (optimum 80°C),,65.0,95.0,80.0,65,95,80
Sulfuricaulis limicola,Kojima-2016-Sulfuricaulis limicola gen. nov,8-37°C (optimum 28-32°C),,8.0,37.0,30.0,8,37,30
Sulfuricella denitrificans,Kojima-2010-Sulfuricella denitrificans gen. no,"below 28°C, optimum 22°C | lower than 28°C, optimum at 22°C",,,28.0,22.0,,28,22
Sulfuricurvum kujiense,Kodama-2004-Sulfuricurvum kujiense gen. nov,25 | 25 °C (range 10-35 °C),,10.0,35.0,25.0,10,35,25
Sulfuriferula multivorans,Watanabe-2015-Sulfuriferula multivorans gen. n,8-32°C (optimum 22-25°C),,8.0,32.0,23.5,8,32,23.5
Sulfuriferula thiophila,Watanabe-2016-Sulfuriferula thiophila sp nov,5-34°C (optimum 32°C),,5.0,34.0,32.0,5,34,32
Sulfuriflexus mobilis,"Kojima-2016-Sulfuriflexus mobilis gen. nov., s",5-34°C (optimum 30-32°C),,5.0,34.0,31.0,5,34,31
Sulfurifustis variabilis,Kojima-2015-Sulfurifustis variabilis gen. nov,"28-46°C (optimum 42-45°C) | 28–46 °C, optimum 42–45 °C",,28.0,46.0,43.5,28,46,43.5
Sulfurihydrogenibium azorense,"Aguiar-2004-Sulfurihydrogenibium azorense, sp",50-73°C (optimum 68°C) | 55-73°C (optimal 68°C),,50.0,73.0,68.0,50,73,68
Sulfurihydrogenibium kristjanssonii,Flores-2008-Sulfurihydrogenibium kristjanssoni,40-73°C (optimal at 68°C) | 40-73 °C (optimum 68 °C),,40.0,73.0,68.0,40,73,68
Sulfurihydrogenibium subterraneum,Takai-2003-Sulfurihydrogenibium subterraneum g,40-70 °C (optimum 60-65 °C) | 40-70 °C (optimum 65 °C),,40.0,70.0,65.0,40,70,65
Sulfurihydrogenibium yellowstonense,"Caldwell-2010-Thermocrinis minervae sp nov., a",extremely thermophilic,,,,,,,
Sulfurihydrogenibium yellowstonense,Flores-2008-Sulfurihydrogenibium kristjanssoni,extremely thermophilic,,,,,,,
Sulfurihydrogenibium yellowstonense,Hetzer-2008-Venenivibrio stagnispumantis gen,extremely thermophilic,,,,,,,
Sulfurimonas autotrophica,Inagaki-2003-Sulfurimonas autotrophica gen. no,10-40°C (optimum 25°C) | 10-40 °C (optimum 23-26 °C),,10.0,40.0,25.0,10,40,25
Sulfurimonas gotlandica,Labrenz-2013-Sulfurimonas gotlandica sp nov,4-20°C (optimal 15°C) | 4-20 °C (optimal 15 °C),,4.0,20.0,15.0,4,20,15
Sulfurimonas paralvinellae,Labrenz-2013-Sulfurimonas gotlandica sp nov,mesophilic,,,,,,,
